wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time, snw_dpth
230,67,2.9,0,6.9,2.7,12.9,10.5,208,0, ,79, 2024-09-01 00:00:00, 
245,71,2.3,0,6.7,2.6,11.8,9.3,261,0, ,85, 2024-09-01 01:00:00, 
226,79,2.7,0,7,2.2,10.5,8.4,230,0, ,89, 2024-09-01 02:00:00, 
266,85,2.6,0,6.9,1.8,9.3,7.5,245,0, ,93, 2024-09-01 03:00:00, 
267,89,2.2,0,6.7,2.2,8.4,6.9,226,0, ,96, 2024-09-01 04:00:00, 
279,93,1.8,0,6.4,2.1,7.5,7.1,266,0, ,95, 2024-09-01 05:00:00, 
305,96,2.2,0,6.3,5.2,6.9,13.1,267,0, ,68, 2024-09-01 06:00:00, 
294,95,2.1,0,6.4,6.3,7.1,16.2,279,0, ,58, 2024-09-01 07:00:00, 
288,68,5.2,0,7.3,7.2,13.1,20,305,0, ,48, 2024-09-01 08:00:00, 
333,58,6.3,0,7.9,5.6,16.2,23.4,294,0, ,40, 2024-09-01 09:00:00, 
358,48,7.2,0,8.7,3.7,20,26.7,288,0, ,33, 2024-09-01 10:00:00, 
12,40,5.6,0,9,4.2,23.4,30.9,333,0, ,27, 2024-09-01 11:00:00, 
89,33,3.7,0,9.1,5.9,26.7,34.1,358,0, ,19, 2024-09-01 12:00:00, 
118,27,4.2,0,9.7,4.9,30.9,36.3,12,0, ,15, 2024-09-01 13:00:00, 
50,19,5.9,0,7.2,6.2,34.1,37.3,89,0, ,13, 2024-09-01 14:00:00, 
75,15,4.9,0,5.5,5.1,36.3,36.8,118,0, ,12, 2024-09-01 15:00:00, 
263,13,6.2,0,4.3,6.5,37.3,36.4,50,0, ,15, 2024-09-01 16:00:00, 
296,12,5.1,0,2.8,4.1,36.8,29.7,75,0, ,26, 2024-09-01 17:00:00, 
62,15,6.5,0,5.6,2.3,36.4,23.1,263,0, ,37, 2024-09-01 18:00:00, 
332,26,4.1,0,8.2,2.8,29.7,19.9,296,0, ,47, 2024-09-01 19:00:00, 
270,37,2.3,0,7.6,2.8,23.1,17.1,62,0, ,54, 2024-09-01 20:00:00, 
276,47,2.8,0,8.3,2.5,19.9,15.3,332,0, ,61, 2024-09-01 21:00:00, 
225, , ,0, ,3.1, ,13.8, , , ,64, 2024-09-01 22:00:00, 
,61,2.5, ,7.8, ,15.3, ,276,0, , , 2024-09-01 23:00:00, 
298,64,3.1,0,7.1,1.8,13.8,11.5,225,0, ,73, 2024-09-02 00:00:00, 
252,68,2.6,0,7,2.1,12.7,10.9,232,0, ,77, 2024-09-02 01:00:00, 
183,73,1.8,0,6.8,1.9,11.5,10,298,0, ,79, 2024-09-02 02:00:00, 
