id,time,temp,rh,prec,wd,ws
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 00:00:00,13.2,48,0,247,7.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 01:00:00,12.9,54,0,236,7.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 02:00:00,10.9,67,0,304,6.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 03:00:00,10.3,68,0,315,6.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 04:00:00,9.8,73.5,0,288,4.35
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 05:00:00,7.7,79,0,261,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 06:00:00,10.4,77,0,302,5.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 07:00:00,13.5,88,0,296,2.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 08:00:00,14.7,77,0,118,2
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 09:00:00,17.5,64,0,117,3.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 10:00:00,21,58,0,298,2.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 11:00:00,22.7,49,0,326,5.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 12:00:00,24.9,41,0,299,6.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 13:00:00,25.7,37,0,341,4.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 14:00:00,27.2,27,0,68,6.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 15:00:00,25.9,29,0,77,6.2
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 16:00:00,25,26,0,332,4.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 17:00:00,21.9,25,0,299,4.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 18:00:00,17.3,29,0,294,7
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 19:00:00,13.9,36,0,240,4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 20:00:00,11.5,48,0,279,3
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 21:00:00,10.7,57,0,290,3.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 22:00:00,10.3,65,0,239,1.9
FLNRO-WMB 394 ROCK CREEK, 2024-09-10 23:00:00,10.5,68,0,218,2.8
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 00:00:00,10.7,69.5,0,249,2.55
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 01:00:00,10.8,71,0,280,2.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 02:00:00,10.9,73,0,297,5.3
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 03:00:00,10.9,73,0,243.5,3.5
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 04:00:00,10.4,73,0,190,1.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 05:00:00,10.8,73,0,154,2.1
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 06:00:00,12.4,90,0,307,4.6
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 07:00:00,13.5,91,0,311,3.7
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 08:00:00,14.3,84,0,326,3.4
FLNRO-WMB 394 ROCK CREEK, 2024-09-11 09:00:00,14.7,73,0,85,3.8
