Sensor ID,Sensor Name,Extra Information,Lat,Long
aa-02-83-06,KM_01,No name listed on N5,49.6366,-116.0116
aa-02-83-32,KM_03,No name listed on N5,49.6407,-116.0452
aa-02-83-43,MR_01,No name listed on N5,50.0204,-120.8703
aa-02-83-84,MR_02,No name listed on N5,50.0218,-120.885
aa-02-84-17,MR_03,No name listed on N5,50.0378,-120.8516
aa-02-84-45,KM_02,No name listed on N5,49.6228,-116.051
aa-02-84-55,CB_01,No name listed on N5,49.4742,-115.6878
aa-02-85-04,CB_03,No name listed on N5,49.448,-115.697
aa-02-85-40,CB_02,No name listed on N5,49.4705,-115.7014
aa-22-16-41,WR_02,N/A,52.7843,-110.9014
aa-22-16-50,VC_02,MGRS 19T CN 03547 03000,46.9514,-71.5818
aa-22-16-69,BC_07,Ski_Hill_Top,49.2863,-68.1743
aa-22-16-74,WR_07,N/A,52.7646,-110.962
aa-22-16-84,WR_08,N/A,52.7396,-110.9361
aa-22-16-85,BC_10,Depot_a_neige,49.2161,-68.1765
aa-22-16-92,VC_20,MGRS 19T CN 04675 11298,47.0263,-71.5705
aa-22-16-97,WR_10,N/A,52.8164,-110.9429
aa-22-17-13,VC_05,MGRS 19T CN 05329 04219,46.9625,-71.5594
aa-22-17-22,BC_04,vieux_poste,49.1876,-68.2399
aa-22-17-23,VC_14,MGRS 19T CN 07682 10147,47.0168,-71.5305
aa-22-17-38,WR_01,N/A,52.772,-110.9006
aa-22-17-44,WR_04,N/A,52.7964,-110.9278
aa-22-21-68,VC_03,MGRS 19T CN 02248 05380,46.9722,-71.6001
aa-22-21-74,WR_06,N/A,52.7887,-110.9606
aa-22-21-92,VC_01,MGRS 19T CN 04299 03542,46.9567,-71.6721
aa-22-22-28,VC_12,MGRS 19T CN 05186 05922,46.9782,-71.5615
aa-22-22-33,WR_05,N/A,52.8201,-111.0196
aa-22-22-56,VC_15,MGRS 19T CN 01694 03410,46.9544,-71.6061
aa-22-22-58,BC_05,Poste_de_pompage_Fortier,49.1887,-68.2451
aa-22-22-72,BC_02,Etangs_Aere,49.2025,-68.2065
aa-22-22-86,BC_09,usine_de_traitement_eau,49.2097,-68.2384
aa-27-79-61,WR_09,N/A,52.7006,-110.8816
aa-27-83-47,BC_06,Ski_Hill_Bottom,49.2891,-68.168
aa-27-83-98,VC_09,MGRS 19T CN 02636 09415,47.088,-71.5965
aa-27-84-29,BC_08,Rue_Morel,49.1891,-68.3114
aa-27-84-77,VC_13,MGRS 19T CN 07020 08089,46.9982,-71.5383
aa-87-26-17,WR_03,N/A,52.7951,-110.9136
aa-87-26-20,BC_03,Societe_de_Parcs,49.1945,-68.2465
aa-87-26-21,BC_01,SOPFEU,49.1381,-68.1956
aa-99-81-53,KM_04,No name listed on N5,49.6518,-116.055
aa-02-84-55,RC_01,,49.08355,-118.964833
aa-02-84-45,RC_02,,49.10045,-118.960033
aa-02-85-04,RC_03,,49.09775,-118.963833
aa-99-81-53,RC_04,,49.10705,-118.96954
aa-02-85-40,RC_05,,49.11553,-118.965133
aa-02-83-06,RC_06,,49.11905,-118.981283
