FireName,LAT,LONG,ReportedIgnTime,FireType,ReportedFinalArea,FirstWarningTime,WarningSensor,FirstAlertTime,AlertSensor,RoundedIgnTime,Accel,FirstVIIRStime,FirstVIIRSfrp,FirstGOEStime,FirstGOESfrp,FirstObsFRP
WR-01,52.7507,-111.0315,2024-04-03 10:35,Wildfire,1,,,,,2024-04-03 11:00,1,,,,,
WR-02,52.7553,-111.0474,2024-04-04 09:43,Wildfire,0.025,,,,,2024-04-04 10:00,1,,,,,
WR-03,52.8312,-110.9184,2024-04-04 13:50,Wildfire,0.023,,,,,2024-04-04 14:00,1,,,,,
WR-04,52.7914,-110.9191,2024-04-08 16:35,Wildfire,1,,,,,2024-04-08 17:00,1,,,,,
WR-05,52.7914,-110.9191,2024-04-09 16:05,Wildfire,0.05,,,,,2024-04-09 16:00,1,,,,,
WR-06,52.7862,-110.9184,2024-04-10 10:38,Wildfire,0.6,,,,,2024-04-10 11:00,1,,,,,
WR-07,52.7912,-110.9748,2024-04-10 23:06,Wildfire,0.28,2024-04-10 23:37,WR_02,2024-04-11 00:03,WR_02,2024-04-10 23:00,1,,,,,
WR-08,52.7988,-110.8917,2024-04-10 10:00,Prescribed,150,2024-04-10 14:14,WR_02,2024-04-10 14:43,WR_02,2024-04-10 10:00,0,,,,,
WR-09,52.78,-110.8888,2024-04-11 10:30,Prescribed,250,2024-04-11 11:55,WR_01,2024-04-11 12:13,WR_02,2024-04-11 11:00,0,,,,,
WR-10,52.7943,-110.9765,2024-04-11 09:00,Wildfire,0.01,,,,,2024-04-11 09:00,1,,,,,
WR-11,52.7836,-110.9422,2024-04-23 12:19,Wildfire,0.2,,,,,2024-04-23 12:00,1,,,,,
WR-12,52.7998,-110.9333,2024-04-23 09:59,Prescribed,375,2024-04-23 11:17,WR_04,2024-04-23 14:04,WR_04,2024-04-23 10:00,0,,,,,
WR-13,52.7477,-110.9227,2024-04-24 11:10,Wildfire,0.25,,,,,2024-04-24 11:00,1,,,,,
WR-14,52.8078,-110.9658,2024-04-24 10:57,Prescribed,550,2024-04-24 10:15,WR_10,2024-04-24 10:25,WR_10,2024-04-24 11:00,0,,,,,
WR-15,52.8244,-111.0136,2024-04-24 16:07,Wildfire,600,2024-04-24 19:18,WR_04,2024-04-24 21:07,WR_10,2024-04-24 16:00,1,,,,,
WR-16,52.834215,-111.007677,2024-04-25 10:36,Prescribed,75,2024-04-25 16:17,WR_10,,WR_10,2024-04-25 11:00,0,,,,,
