id,time,temp,rh,prec,wd,ws,Visibility_km,Weather
QUEBEC INTL A,2023-05-01 00:00,8.2,81,0,7,46,16.1,NA
QUEBEC INTL A,2023-05-01 01:00,8.7,80,0,7,43,16.1,Cloudy
QUEBEC INTL A,2023-05-01 02:00,8.4,84,0,7,48,12.9,Rain
QUEBEC INTL A,2023-05-01 03:00,8.6,83,0.5,7,46,16.1,Rain
QUEBEC INTL A,2023-05-01 04:00,9.2,81,0,7,54,16.1,Rain
QUEBEC INTL A,2023-05-01 05:00,8.7,85,0.7,7,50,24.1,Rain
QUEBEC INTL A,2023-05-01 06:00,8.8,83,0.5,7,57,24.1,Rain
QUEBEC INTL A,2023-05-01 07:00,8,94,0.7,7,50,2,"Moderate Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 08:00,7.6,96,4.2,7,49,4.8,"Moderate Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 09:00,7.5,95,3,6,50,12.9,Rain Showers
QUEBEC INTL A,2023-05-01 10:00,8,93,0.6,7,53,4.8,"Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 11:00,8,96,3.4,6,51,3.6,"Heavy Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 12:00,9.1,90,1.7,6,58,16.1,Rain Showers
QUEBEC INTL A,2023-05-01 13:00,9.5,93,0,7,51,12.9,Rain Showers
QUEBEC INTL A,2023-05-01 14:00,8.2,92,4.5,23,48,8.1,"Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 15:00,7.2,94,2.3,22,25,8.1,"Moderate Rain Showers,Fog"
QUEBEC INTL A,2023-05-01 16:00,9.2,83,0.9,22,19,48.3,Mostly Cloudy
QUEBEC INTL A,2023-05-01 17:00,9.4,80,0,22,9,48.3,NA
QUEBEC INTL A,2023-05-01 18:00,9.7,76,0,22,4,48.3,NA
QUEBEC INTL A,2023-05-01 19:00,6.7,91,0,,0,48.3,Clear
QUEBEC INTL A,2023-05-01 20:00,6.8,91,0,3,10,24.1,NA
QUEBEC INTL A,2023-05-01 21:00,4.8,94,0,4,10,24.1,NA
QUEBEC INTL A,2023-05-01 22:00,5.5,93,0,6,21,24.1,Mainly Clear
QUEBEC INTL A,2023-05-01 23:00,5.8,88,0,8,23,24.1,NA
QUEBEC INTL A,2023-05-02 00:00,6.2,87,0,7,17,24.1,Rain Showers
QUEBEC INTL A,2023-05-02 01:00,6.5,96,1.6,7,18,16.1,Rain Showers
QUEBEC INTL A,2023-05-02 02:00,6.3,94,0,7,22,24.1,NA
QUEBEC INTL A,2023-05-02 03:00,6.4,95,0,7,26,24.1,NA
QUEBEC INTL A,2023-05-02 04:00,6.3,95,0,7,17,16.1,Cloudy
QUEBEC INTL A,2023-05-02 05:00,6.7,94,0,7,24,24.1,NA
